name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets  
Toyota Corolla,toyota-corolla,The Toyota Corolla is a compact sedan that has been a popular choice for drivers for many years.,https://www.razaoautomovel.com/wp-content/uploads/2020/07/Toyota-Corolla-Sedan-GR-SPORT-1_925x520_acf_cropped-925x520.jpg,brand:Toyota|type:Sedan|modelYear:2021,modelYear|trim|color,2021|LE|White,TC2021LEWHT,19999,standard,50,TRUE,,  
Honda Civic,honda-civic,The Honda Civic is a popular compact sedan known for its reliability and fuel efficiency.,https://cdn.motor1.com/images/mgl/mBrOo/s3/honda-civic-exl-2020.jpg,brand:Honda|type:Sedan|modelYear:2021,modelYear|trim|color,2021|LX|Black,HC2021LXBLK,20999,standard,75,TRUE,,  
Ford Mustang,ford-mustang,The Ford Mustang is a classic American muscle car with a sporty design and powerful engine.,https://images.carexpert.com.au/crop/1200/630/app/uploads/2021/12/2022-ford-mustang-gt-review-1.jpg,brand:Ford|type:Coupe|modelYear:2021,modelYear|trim|color,2021|GT|Red,FM2021GTRD,29999,standard,20,TRUE,,  
Chevrolet Camaro,chevrolet-camaro,The Chevrolet Camaro is another classic American muscle car that is known for its speed and performance.,https://i.pinimg.com/originals/d6/52/f4/d652f465d1293e95015a9f151191f9b9.png,brand:Chevrolet|type:Coupe|modelYear:2021,modelYear|trim|color,2021|SS|Blue,CC2021SSBLU,34999,standard,15,TRUE,,  
Audi A4,audi-a4,The Audi A4 is a luxury sedan that offers a smooth and comfortable ride with plenty of high-end features.,https://images.carexpert.com.au/crop/1200/630/app/uploads/2022/02/2022-Audi-A4-Sedan-45-TFSI-quattro-S-line-HERO.jpg,brand:Audi|type:Sedan|modelYear:2021,modelYear|trim|color,2021|Premium|Gray,AA2021PG,40999,standard,10,TRUE,,  
BMW 3 Series,bmw-3-series,The BMW 3 Series is another luxury sedan that offers a stylish design and impressive performance.,https://carsguide-res.cloudinary.com/image/upload/f_auto,fl_lossy,q_auto,t_cg_hero_large/v1/editorial/2021-BMW-330i-Icon-Edition-sedan-black-1001x565-1.jpg,brand:BMW|type:Sedan|modelYear:2021,modelYear|trim|color,2021|330i|Black,BMW2021BLK,43999,standard,5,TRUE,,  
Mercedes-Benz C-Class,mercedes-benz-c-class,The Mercedes-Benz C-Class is a luxury sedan that offers a smooth and comfortable ride with plenty of high-end features.,https://vehicle-images.dealerinspire.com/4936-11001174/W1KAF4HB9PR076859/a78e69a2cf8bf0f3b47bbb8adb417d97.jpg,brand:Mercedes-Benz|type:Sedan|modelYear:2021,modelYear|trim|color,2021|C300|Silver,MB2021C300SIL,47999,standard,3,TRUE,,  
Hyundai Sonata,hyundai-sonata,The Hyundai Sonata is a mid-size sedan that is known for its spacious interior and fuel efficiency.,https://hips.hearstapps.com/hmg-prod/images/2021-hyundai-sonata-n-line-108-1606156377.jpg,brand:Hyundai|type:Sedan|modelYear:2021,modelYear|trim|color,2021|SEL|White,HS2021SELWHT,24999,standard,30,TRUE,,  
Kia Optima,kia-optima,The Kia Optima is another mid-size sedan that offers a comfortable ride and plenty of features for its price.,https://di-uploads-pod11.dealerinspire.com/racewaykiaoffreehold/uploads/2019/08/2020-Kia-Optima-S-Model-Left.jpg,brand:Kia|type:Sedan|modelYear:2021,modelYear|trim|color,2021|EX|Black,KO2021EXBLK,21999,standard,45,TRUE,,  
Nissan Altima,nissan-altima,The Nissan Altima is a mid-size sedan that is known for its fuel efficiency and comfortable ride.,https://inv.assets.ansira.net/ChromeColorMatch/us/WHITE_cc_2023NIC040049_01_1280_KCH.jpg,brand:Nissan|type:Sedan|modelYear:2021,modelYear|trim|color,2021|SV|Gray,NA2021SVGRY,22999,standard,25,TRUE,,  
